"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.609855272E2,6.502270927E1,2.549055275E1,5.956565299E0,1.080000043E0,2.807000122E2,3.790092468E0,2.500000000E0
1.619846609E2,6.502271017E1,2.549053052E1,5.939839577E0,1.059999943E0,2.743999939E2,3.790092468E0,2.500000000E0
1.629719934E2,6.502271087E1,2.549050673E1,6.167498568E0,1.100000024E0,2.756000061E2,3.790092468E0,2.500000000E0
1.639705417E2,6.502271100E1,2.549048294E1,6.167374563E0,1.110000014E0,2.752000122E2,3.790092468E0,2.500000000E0
1.649743832E2,6.502271090E1,2.549045702E1,6.352858382E0,1.169999957E0,2.781000061E2,3.790092468E0,2.500000000E0
1.659824934E2,6.502271184E1,2.549043158E1,6.609691961E0,1.049999952E0,2.808999939E2,3.790092468E0,2.500000000E0
1.669817543E2,6.502271334E1,2.549040550E1,6.772348039E0,1.120000005E0,2.813999939E2,3.790092468E0,2.500000000E0
1.679893643E2,6.502271497E1,2.549037978E1,6.725409373E0,1.120000005E0,2.798999939E2,3.790092468E0,2.500000000E0
1.689869252E2,6.502271545E1,2.549035346E1,6.638432013E0,1.090000033E0,2.727999878E2,3.790092468E0,2.500000000E0
1.699858386E2,6.502271503E1,2.549032745E1,6.772280199E0,1.100000024E0,2.682000122E2,3.790092468E0,2.500000000E0
1.709729336E2,6.502271428E1,2.549030094E1,6.715393601E0,1.159999967E0,2.718999939E2,3.790092468E0,2.500000000E0
1.719902509E2,6.502271457E1,2.549027820E1,6.539610442E0,1.039999962E0,2.772999878E2,3.790092468E0,2.500000000E0
1.729795498E2,6.502271507E1,2.549025697E1,6.663632013E0,1.080000043E0,2.756000061E2,3.790092468E0,2.500000000E0
1.739844986E2,6.502271548E1,2.549023209E1,6.684625984E0,1.090000033E0,2.736000061E2,3.790092468E0,2.500000000E0
1.749702334E2,6.502271533E1,2.549020685E1,6.633720715E0,1.149999976E0,2.711000061E2,3.790092468E0,2.500000000E0
1.759738266E2,6.502271515E1,2.549018319E1,6.494375641E0,1.090000033E0,2.697999878E2,3.790092468E0,2.500000000E0
1.769836016E2,6.502271664E1,2.549015954E1,6.451953791E0,1.100000024E0,2.782000122E2,3.790092468E0,2.500000000E0
1.779731071E2,6.502271841E1,2.549013616E1,6.543748169E0,1.100000024E0,2.797999878E2,3.790092468E0,2.500000000E0
1.789887353E2,6.502271965E1,2.549011336E1,6.639571106E0,1.090000033E0,2.750000000E2,3.790092468E0,2.500000000E0
1.799838661E2,6.502272039E1,2.549009109E1,6.854779031E0,1.070000052E0,2.733999939E2,3.790092468E0,2.500000000E0
1.809844288E2,6.502272164E1,2.549007172E1,6.586344424E0,1.100000024E0,2.693999939E2,3.790092468E0,2.500000000E0
1.819758222E2,6.502272330E1,2.549004854E1,6.782508975E0,1.120000005E0,2.747999878E2,3.790092468E0,2.500000000E0
1.829732934E2,6.502272511E1,2.549002699E1,6.384191179E0,1.059999943E0,2.780000000E2,3.790092468E0,2.500000000E0
1.839849395E2,6.502272581E1,2.549000244E1,6.606479016E0,1.100000024E0,2.740000000E2,3.790092468E0,2.500000000E0
1.849855096E2,6.502272590E1,2.548997799E1,6.522797844E0,1.139999986E0,2.727999878E2,3.790092468E0,2.500000000E0
1.859874338E2,6.502272632E1,2.548995481E1,6.511504348E0,1.110000014E0,2.746000061E2,3.790092468E0,2.500000000E0
1.869851672E2,6.502272756E1,2.548993059E1,6.609097191E0,1.120000005E0,2.765000000E2,3.790092468E0,2.500000000E0
1.879852190E2,6.502272826E1,2.548990692E1,6.669886074E0,1.110000014E0,2.768999939E2,3.790092468E0,2.500000000E0
1.889746644E2,6.502272885E1,2.548988367E1,6.516868878E0,1.100000024E0,2.761000061E2,3.790092468E0,2.500000000E0
1.899833615E2,6.502272957E1,2.548985954E1,6.483358401E0,1.100000024E0,2.758999939E2,3.790092468E0,2.500000000E0
1.909780671E2,6.502272979E1,2.548983513E1,6.353412536E0,1.070000052E0,2.730000000E2,3.790092468E0,2.500000000E0
1.919730649E2,6.502273006E1,2.548981120E1,6.328080950E0,1.080000043E0,2.722999878E2,3.790092468E0,2.500000000E0
1.929801109E2,6.502273026E1,2.548978798E1,6.290176202E0,1.090000033E0,2.733999939E2,3.790092468E0,2.500000000E0
1.939860623E2,6.502273222E1,2.548976523E1,6.449353373E0,1.100000024E0,2.810000000E2,3.790092468E0,2.500000000E0
1.949885423E2,6.502273380E1,2.548973809E1,6.815805724E0,1.100000024E0,2.800000000E2,3.790092468E0,2.500000000E0
1.959856783E2,6.502273470E1,2.548970936E1,6.850165910E0,1.120000005E0,2.720000000E2,3.790092468E0,2.500000000E0
1.969827505E2,6.502273465E1,2.548968403E1,6.973210793E0,1.029999971E0,2.725000000E2,3.790092468E0,2.500000000E0
1.979879785E2,6.502273496E1,2.548965933E1,7.099978740E0,1.090000033E0,2.742999878E2,3.790092468E0,2.500000000E0
1.989897905E2,6.502273604E1,2.548963226E1,7.009400027E0,1.100000024E0,2.763999939E2,3.790092468E0,2.500000000E0
1.999832248E2,6.502273731E1,2.548960765E1,6.976499664E0,1.059999943E0,2.756000061E2,3.790092468E0,2.500000000E0
2.009865241E2,6.502273916E1,2.548958370E1,7.080867209E0,1.120000005E0,2.783999939E2,3.790092468E0,2.500000000E0
2.019861501E2,6.502274067E1,2.548955923E1,6.803154758E0,1.149999976E0,2.780000000E2,3.790092468E0,2.500000000E0
2.029837405E2,6.502274151E1,2.548953596E1,6.494680926E0,1.110000014E0,2.786000061E2,3.790092468E0,2.500000000E0
2.039830116E2,6.502274245E1,2.548950959E1,6.512866968E0,1.230000019E0,2.783999939E2,3.790092468E0,2.500000000E0
2.049879014E2,6.502274336E1,2.548947991E1,6.654954126E0,1.320000052E0,2.762999878E2,3.790092468E0,2.500000000E0
2.059708812E2,6.502274513E1,2.548945003E1,6.546430604E0,1.340000033E0,2.808999939E2,3.790092468E0,2.500000000E0
2.069697966E2,6.502274496E1,2.548942017E1,6.907085033E0,1.399999976E0,2.806000061E2,3.790092468E0,2.500000000E0
2.079708626E2,6.502274680E1,2.548938930E1,6.857460333E0,1.379999995E0,2.811000061E2,3.790092468E0,2.500000000E0
2.089847110E2,6.502274834E1,2.548935757E1,6.974705790E0,1.399999976E0,2.767000122E2,3.790092468E0,2.500000000E0
2.099837440E2,6.502274939E1,2.548932639E1,7.129976371E0,1.389999986E0,2.731000061E2,3.790092468E0,2.500000000E0
2.109809527E2,6.502275082E1,2.548929664E1,7.119414409E0,1.370000005E0,2.767999878E2,3.790092468E0,2.500000000E0
2.119702886E2,6.502275238E1,2.548927092E1,6.886745785E0,1.379999995E0,2.778999939E2,3.790092468E0,2.500000000E0
2.129736338E2,6.502275430E1,2.548924127E1,6.862084530E0,1.409999967E0,2.782000122E2,3.790092468E0,2.500000000E0
2.139714791E2,6.502275657E1,2.548921005E1,7.065511403E0,1.429999948E0,2.766000061E2,3.790092468E0,2.500000000E0
2.149840428E2,6.502275791E1,2.548917647E1,7.343767528E0,1.509999990E0,2.766000061E2,3.790092468E0,2.500000000E0
2.159722629E2,6.502275896E1,2.548914784E1,7.568496319E0,1.419999957E0,2.777000122E2,3.790092468E0,2.500000000E0
2.169716812E2,6.502276039E1,2.548911922E1,7.611157102E0,1.419999957E0,2.802000122E2,3.790092468E0,2.500000000E0
2.179748014E2,6.502276204E1,2.548909244E1,7.479623614E0,1.450000048E0,2.756000061E2,3.790092468E0,2.500000000E0
2.189721358E2,6.502276329E1,2.548906466E1,7.342230818E0,1.460000038E0,2.777999878E2,3.790092468E0,2.500000000E0
2.199729070E2,6.502276400E1,2.548903475E1,7.110721838E0,1.470000029E0,2.778999939E2,3.790092468E0,2.500000000E0
2.209773323E2,6.502276698E1,2.548900758E1,6.739563813E0,1.539999962E0,2.793999939E2,3.790092468E0,2.500000000E0
2.219822369E2,6.502276901E1,2.548897808E1,6.793027529E0,1.539999962E0,2.780000000E2,3.790092468E0,2.500000000E0
2.229860116E2,6.502277116E1,2.548894812E1,6.660761186E0,1.529999971E0,2.782999878E2,3.790092468E0,2.500000000E0
2.239820378E2,6.502277214E1,2.548891996E1,6.756827930E0,1.379999995E0,2.773999939E2,3.790092468E0,2.500000000E0
2.249830411E2,6.502277302E1,2.548889061E1,6.787586998E0,1.389999986E0,2.777999878E2,3.790092468E0,2.500000000E0
2.259869363E2,6.502277334E1,2.548886199E1,6.699755019E0,1.389999986E0,2.730000000E2,3.790092468E0,2.500000000E0
2.269883679E2,6.502277258E1,2.548883252E1,6.804550319E0,1.429999948E0,2.695000000E2,3.790092468E0,2.500000000E0
2.279845014E2,6.502277204E1,2.548880302E1,7.261518388E0,1.389999986E0,2.715000000E2,3.790092468E0,2.500000000E0
2.289840960E2,6.502277415E1,2.548877340E1,7.474161753E0,1.450000048E0,2.790000000E2,3.790092468E0,2.500000000E0
2.299880918E2,6.502277531E1,2.548874583E1,7.415870568E0,1.289999962E0,2.780000000E2,3.790092468E0,2.500000000E0
2.309783312E2,6.502277661E1,2.548871661E1,7.526219338E0,1.419999957E0,2.785000000E2,3.790092468E0,2.500000000E0
2.319832086E2,6.502277706E1,2.548868694E1,7.381380392E0,1.440000057E0,2.798999939E2,3.790092468E0,2.500000000E0
2.329832214E2,6.502277935E1,2.548865943E1,7.281645930E0,1.389999986E0,2.817000122E2,3.790092468E0,2.500000000E0
2.339720439E2,6.502278158E1,2.548863171E1,7.296352390E0,1.419999957E0,2.795000000E2,3.790092468E0,2.500000000E0
2.349760445E2,6.502278386E1,2.548860658E1,7.009667436E0,1.330000043E0,2.800000000E2,3.790092468E0,2.500000000E0
2.359860938E2,6.502278687E1,2.548858267E1,6.797262099E0,1.360000014E0,2.822000122E2,3.790092468E0,2.500000000E0
2.369868146E2,6.502279012E1,2.548855661E1,6.475908750E0,1.379999995E0,2.822999878E2,3.790092468E0,2.500000000E0
2.379851448E2,6.502279288E1,2.548852858E1,6.736708742E0,1.450000048E0,2.833999939E2,3.790092468E0,2.500000000E0
2.389715651E2,6.502279554E1,2.548849999E1,6.872997008E0,1.440000057E0,2.836000061E2,3.790092468E0,2.500000000E0
2.399852156E2,6.502279764E1,2.548847293E1,7.173226028E0,1.419999957E0,2.867999878E2,3.790092468E0,2.500000000E0
2.409852544E2,6.502280059E1,2.548844652E1,7.393742877E0,1.330000043E0,2.890000000E2,3.790092468E0,2.500000000E0
2.419721007E2,6.502280281E1,2.548841927E1,7.608583655E0,1.360000014E0,2.867000122E2,3.790092468E0,2.500000000E0
2.429821767E2,6.502280687E1,2.548839332E1,8.050535683E0,1.360000014E0,2.932000122E2,3.790092468E0,2.500000000E0
2.439853957E2,6.502281199E1,2.548836981E1,8.126703827E0,1.340000033E0,3.033999939E2,3.790092468E0,2.500000000E0
2.449840252E2,6.502281936E1,2.548835114E1,8.382253861E0,1.320000052E0,3.166000061E2,3.790092468E0,2.500000000E0
2.459788217E2,6.502282785E1,2.548833289E1,8.590501274E0,1.399999976E0,3.202000122E2,3.790092468E0,2.500000000E0
2.469861924E2,6.502283777E1,2.548831681E1,8.450786914E0,1.490000010E0,3.221000061E2,3.790092468E0,2.500000000E0
2.479819231E2,6.502284778E1,2.548830403E1,8.312110380E0,1.419999957E0,3.311000061E2,3.790092468E0,2.500000000E0
2.489865266E2,6.502285800E1,2.548829061E1,8.114351687E0,1.350000024E0,3.338999939E2,3.790092468E0,2.500000000E0
2.499876407E2,6.502286966E1,2.548827479E1,8.396267573E0,1.429999948E0,3.332000122E2,3.790092468E0,2.500000000E0
2.509875377E2,6.502288169E1,2.548826320E1,8.487753972E0,1.460000038E0,3.377000122E2,3.790092468E0,2.500000000E0
2.519905593E2,6.502289368E1,2.548825549E1,8.718034639E0,1.450000048E0,3.457999878E2,3.790092468E0,2.500000000E0
2.529831610E2,6.502290604E1,2.548824468E1,8.271984358E0,1.360000014E0,3.462999878E2,3.790092468E0,2.500000000E0
2.539817869E2,6.502291948E1,2.548823606E1,8.263677999E0,1.480000019E0,3.462999878E2,3.790092468E0,2.500000000E0
2.549733658E2,6.502293245E1,2.548823197E1,8.350220804E0,1.379999995E0,3.503999939E2,3.790092468E0,2.500000000E0
2.559869538E2,6.502294536E1,2.548823139E1,8.432613519E0,1.360000014E0,3.522999878E2,3.790092468E0,2.500000000E0
2.569828750E2,6.502295794E1,2.548823805E1,8.327690036E0,1.370000005E0,1.299999952E0,3.790092468E0,2.500000000E0
2.579827004E2,6.502297058E1,2.548824729E1,8.503833631E0,1.470000029E0,1.030000019E1,3.790092468E0,2.500000000E0
2.589980234E2,6.502298203E1,2.548825408E1,8.024704027E0,1.259999990E0,1.480000019E1,3.790092468E0,2.500000000E0
2.599851278E2,6.502299300E1,2.548826607E1,7.669232238E0,1.330000043E0,2.629999924E1,3.790092468E0,2.500000000E0
2.609875276E2,6.502300410E1,2.548827949E1,7.429727313E0,1.429999948E0,2.100000000E1,3.790092468E0,2.500000000E0
2.619780101E2,6.502301572E1,2.548829334E1,7.171911686E0,1.440000057E0,2.329999924E1,3.790092468E0,2.500000000E0
2.629867042E2,6.502302779E1,2.548830406E1,6.946200138E0,1.470000029E0,2.029999924E1,3.790092468E0,2.500000000E0
2.639856153E2,6.502303918E1,2.548831433E1,6.615081088E0,1.389999986E0,1.850000000E1,3.790092468E0,2.500000000E0
2.649883928E2,6.502305105E1,2.548832754E1,6.384853211E0,1.419999957E0,2.010000038E1,3.790092468E0,2.500000000E0
2.659846545E2,6.502306357E1,2.548834066E1,6.249168547E0,1.399999976E0,1.870000076E1,3.790092468E0,2.500000000E0
2.669881103E2,6.502307561E1,2.548834933E1,6.086200988E0,1.389999986E0,1.569999981E1,3.790092468E0,2.500000000E0
2.679709692E2,6.502308827E1,2.548835618E1,5.985672024E0,1.429999948E0,1.139999962E1,3.790092468E0,2.500000000E0
2.689856718E2,6.502310152E1,2.548836373E1,6.208446124E0,1.409999967E0,1.539999962E1,3.790092468E0,2.500000000E0
2.699860382E2,6.502311350E1,2.548837199E1,6.076362345E0,1.429999948E0,1.800000000E1,3.790092468E0,2.500000000E0
2.709838759E2,6.502312575E1,2.548838045E1,5.905399089E0,1.509999990E0,1.660000038E1,3.790092468E0,2.500000000E0
2.719866210E2,6.502313768E1,2.548839054E1,5.837158247E0,1.519999981E0,1.750000000E1,3.790092468E0,2.500000000E0
2.729821834E2,6.502314875E1,2.548839932E1,5.726620251E0,1.460000038E0,1.989999962E1,3.790092468E0,2.500000000E0
2.739860787E2,6.502315977E1,2.548841439E1,5.459039317E0,1.419999957E0,2.360000038E1,3.790092468E0,2.500000000E0
2.749866979E2,6.502317186E1,2.548842550E1,4.996633460E0,1.480000019E0,1.539999962E1,3.790092468E0,2.500000000E0
2.759859937E2,6.502318357E1,2.548843340E1,4.958543892E0,1.450000048E0,1.569999981E1,3.790092468E0,2.500000000E0
2.769877416E2,6.502319493E1,2.548844362E1,4.529951707E0,1.409999967E0,1.500000000E1,3.790092468E0,2.500000000E0
2.779708168E2,6.502320691E1,2.548845626E1,4.255229118E0,1.429999948E0,1.810000038E1,3.790092468E0,2.500000000E0
2.789797743E2,6.502321856E1,2.548846927E1,4.100257655E0,1.399999976E0,1.739999962E1,3.790092468E0,2.500000000E0
2.799867672E2,6.502323200E1,2.548847848E1,3.834933676E0,1.409999967E0,1.089999962E1,3.790092468E0,2.500000000E0
2.809862611E2,6.502324583E1,2.548848845E1,3.657683346E0,1.480000019E0,1.239999962E1,3.790092468E0,2.500000000E0
2.819735561E2,6.502325809E1,2.548849914E1,3.624842825E0,1.419999957E0,1.720000076E1,3.790092468E0,2.500000000E0
2.829848262E2,6.502326957E1,2.548851109E1,3.493430911E0,1.419999957E0,2.220000076E1,3.790092468E0,2.500000000E0
2.839848819E2,6.502327970E1,2.548852577E1,3.656636406E0,1.389999986E0,2.879999924E1,3.790092468E0,2.500000000E0
2.849851066E2,6.502329110E1,2.548853960E1,3.447587953E0,1.360000014E0,3.459999847E1,3.790092468E0,2.500000000E0
2.859891280E2,6.502330121E1,2.548856122E1,3.196670475E0,1.379999995E0,4.740000153E1,3.790092468E0,2.500000000E0
2.869861465E2,6.502331317E1,2.548858120E1,3.158154536E0,1.490000010E0,4.229999924E1,3.790092468E0,2.500000000E0
2.879899487E2,6.502332330E1,2.548860384E1,3.004893383E0,1.460000038E0,4.629999924E1,3.790092468E0,2.500000000E0
2.889736141E2,6.502333423E1,2.548862204E1,3.070991935E0,1.450000048E0,4.350000000E1,3.790092468E0,2.500000000E0
2.899863430E2,6.502334413E1,2.548864374E1,2.887701494E0,1.470000029E0,4.690000153E1,3.790092468E0,2.500000000E0
2.909884218E2,6.502335358E1,2.548866787E1,2.810429477E0,1.500000000E0,4.990000153E1,3.790092468E0,2.500000000E0
2.919879557E2,6.502336469E1,2.548868723E1,2.775453840E0,1.470000029E0,3.659999847E1,3.790092468E0,2.500000000E0
2.929715400E2,6.502337569E1,2.548870385E1,3.117187008E0,1.450000048E0,3.420000076E1,3.790092468E0,2.500000000E0
2.939880890E2,6.502338624E1,2.548871811E1,3.309933335E0,1.440000057E0,3.050000000E1,3.790092468E0,2.500000000E0
2.949874143E2,6.502339729E1,2.548873230E1,3.335382111E0,1.389999986E0,2.850000000E1,3.790092468E0,2.500000000E0
2.959851053E2,6.502340806E1,2.548874773E1,3.351065464E0,1.409999967E0,3.440000153E1,3.790092468E0,2.500000000E0
2.969787346E2,6.502341897E1,2.548876388E1,3.182239546E0,1.450000048E0,3.479999924E1,3.790092468E0,2.500000000E0
2.979885751E2,6.502343084E1,2.548878059E1,3.322129145E0,1.509999990E0,3.809999847E1,3.790092468E0,2.500000000E0
2.989855303E2,6.502344176E1,2.548880317E1,3.017073270E0,1.500000000E0,4.800000000E1,3.790092468E0,2.500000000E0
2.999857543E2,6.502345039E1,2.548882900E1,3.079328058E0,1.529999971E0,5.870000076E1,3.790092468E0,2.500000000E0
3.009854469E2,6.502345730E1,2.548885647E1,3.242657821E0,1.539999962E0,6.750000000E1,3.790092468E0,2.500000000E0
3.019853370E2,6.502346193E1,2.548889070E1,3.039350771E0,1.559999943E0,7.850000000E1,3.790092468E0,2.500000000E0
3.029870844E2,6.502346308E1,2.548892204E1,2.821274246E0,1.480000019E0,8.850000000E1,3.790092468E0,2.500000000E0
3.039827673E2,6.502346451E1,2.548895252E1,3.367296672E0,1.470000029E0,9.480000305E1,3.790092468E0,2.500000000E0
3.049869038E2,6.502346495E1,2.548898545E1,3.415822096E0,1.500000000E0,9.359999847E1,3.790092468E0,2.500000000E0
3.059926341E2,6.502346421E1,2.548901867E1,3.266288889E0,1.490000010E0,9.380000305E1,3.790092468E0,2.500000000E0
3.069866068E2,6.502346439E1,2.548905390E1,2.895380998E0,1.539999962E0,9.219999695E1,3.790092468E0,2.500000000E0
3.079745117E2,6.502346473E1,2.548908713E1,2.732541735E0,1.490000010E0,9.200000000E1,3.790092468E0,2.500000000E0
3.089859510E2,6.502346340E1,2.548912012E1,2.646912533E0,1.490000010E0,9.519999695E1,3.790092468E0,2.500000000E0
3.099840970E2,6.502346363E1,2.548915157E1,2.512332446E0,1.450000048E0,8.859999847E1,3.790092468E0,2.500000000E0
3.109854339E2,6.502346609E1,2.548918225E1,2.336186545E0,1.500000000E0,8.350000000E1,3.790092468E0,2.500000000E0
3.119902126E2,6.502346821E1,2.548921229E1,2.137701850E0,1.490000010E0,8.159999847E1,3.790092468E0,2.500000000E0
3.129809451E2,6.502347065E1,2.548924472E1,2.043038031E0,1.490000010E0,8.200000000E1,3.790092468E0,2.500000000E0
3.139748476E2,6.502347330E1,2.548927699E1,1.979990334E0,1.539999962E0,8.169999695E1,3.790092468E0,2.500000000E0
3.149867178E2,6.502347370E1,2.548931025E1,1.596386892E0,1.529999971E0,8.459999847E1,3.790092468E0,2.500000000E0
3.159838160E2,6.502347508E1,2.548934373E1,1.714186921E0,1.559999943E0,7.780000305E1,3.790092468E0,2.500000000E0
3.169863915E2,6.502347664E1,2.548937731E1,1.857743729E0,1.590000033E0,7.919999695E1,3.790092468E0,2.500000000E0
3.179847466E2,6.502347803E1,2.548940961E1,1.948138875E0,1.519999981E0,8.009999847E1,3.790092468E0,2.500000000E0
3.189896184E2,6.502347987E1,2.548944136E1,1.854146606E0,1.509999990E0,8.290000153E1,3.790092468E0,2.500000000E0
3.199845168E2,6.502348141E1,2.548947304E1,1.971275047E0,1.490000010E0,8.069999695E1,3.790092468E0,2.500000000E0
3.209709837E2,6.502348393E1,2.548950235E1,1.901940540E0,1.370000005E0,7.990000153E1,3.790092468E0,2.500000000E0
